@relation argouml-0.9.5

@attribute Lines numeric
@attribute Statements numeric
@attribute '\% Branches' numeric
@attribute Calls numeric
@attribute Calls/Statements numeric
@attribute '\% Comments' numeric
@attribute Methods/Class numeric
@attribute 'Avg Stmts/Method' numeric
@attribute 'Max Complexity' numeric
@attribute 'Max Depth' numeric
@attribute 'Avg Depth' numeric
@attribute 'Avg Complexity' numeric
@attribute WMC numeric
@attribute NOF numeric
@attribute DIT numeric
@attribute NMO numeric
@attribute NOC numeric
@attribute Abstract numeric
@attribute isImportant numeric

@data
49,28,10.7,13,0.464286,30.6,3,5.33,4,3,1.46,2.33,6,1,2,1,0,0,0
51,38,7.9,21,0.552632,15.7,3,5.33,4,3,1.45,2,5,10,2,2,0,0,0
38,28,21.4,12,0.428571,18.4,2,9.5,8,4,2.14,4.5,8,1,2,1,0,0,0
74,56,19.6,28,0.5,16.2,2,21,13,6,2.77,7,13,2,2,0,0,0,0
23,15,6.7,5,0.333333,26.1,3,2.33,2,2,1.2,1.33,4,1,3,2,0,0,0
22,15,6.7,4,0.266667,27.3,3,2.33,2,2,1.2,1.33,4,1,2,2,0,0,0
95,74,23,32,0.432432,14.7,4,14.5,11,6,2.36,5.75,20,1,3,0,0,0,0
98,73,16.4,42,0.575342,10.2,3,18,16,7,3.45,6,15,2,2,1,0,0,0
112,83,20.5,54,0.650602,8.9,3,22.67,21,7,4.07,7.67,19,2,2,1,0,0,0
81,58,10.3,42,0.724138,12.3,5,8.2,9,4,2.16,2.6,11,3,2,2,1,0,0
94,75,14.7,47,0.626667,8.5,4,13.5,14,5,2.47,4.25,15,3,3,2,0,0,0
32,25,8,11,0.44,18.8,2,6.5,3,3,1.48,2,4,1,3,0,0,0,0
61,43,7,21,0.488372,21.3,3,9.33,4,4,1.93,2,6,1,3,1,0,0,0
66,31,9.7,12,0.387097,40.9,3,6,3,4,1.68,2,6,1,2,1,0,0,0
33,25,8,11,0.44,21.2,2,6.5,3,3,1.48,2,4,1,3,0,0,0,0
42,23,4.3,13,0.565217,42.9,3,4,2,3,1.26,1.33,4,1,2,2,0,0,0
41,33,0,21,0.636364,12.2,2,8.5,1,2,1.09,1,2,0,5,1,0,0,0
93,73,12.3,42,0.575342,3.2,7,7.71,4,4,1.84,2.29,14,0,3,1,0,0,0
60,49,6.1,32,0.653061,5,5,6.8,3,3,1.63,1.6,8,0,5,1,0,0,0
127,106,6.6,69,0.650943,3.1,9,9.33,2,3,1.76,1.78,16,0,3,1,0,0,0
35,29,0,16,0.551724,5.7,2,6,1,2,0.9,1,2,0,3,1,0,0,0
29,24,0,16,0.666667,6.9,2,6.5,1,2,1.17,1,2,0,3,1,0,0,0
76,54,11.1,35,0.648148,13.2,5,7.8,5,5,1.96,2.6,11,0,3,1,0,0,0
47,39,7.7,26,0.666667,4.3,4,6.25,3,4,1.51,1.75,7,0,3,3,0,0,0
28,24,0,17,0.708333,0,2,6.5,2,2,1.17,1.5,2,0,3,1,0,0,0
103,81,11.1,55,0.679012,6.8,7,8.57,5,5,1.91,2.57,16,0,3,3,0,0,0
69,54,3.7,45,0.833333,8.7,3,12,4,4,1.54,2.67,5,0,5,1,0,0,0
162,111,11.7,65,0.585586,16,14,5.79,5,5,1.86,1.93,27,1,3,4,0,0,0
39,29,6.9,10,0.344828,7.7,4,3.75,2,3,1.24,1.5,6,0,4,1,0,0,0
49,44,2.3,29,0.659091,0,3,10,2,3,1.45,1.33,4,0,5,1,0,0,0
65,50,10,30,0.6,3.1,7,4.57,4,4,1.68,1.71,11,1,3,1,1,1,0
25,22,0,9,0.409091,0,2,4.5,1,2,0.91,1,2,0,5,1,0,0,0
48,39,2.6,29,0.74359,6.3,3,8.67,2,3,1.44,1.33,4,0,3,1,0,0,0
57,52,0,50,0.961538,3.5,2,20.5,1,2,1.62,1,2,0,4,1,0,0,0
35,32,0,19,0.59375,0,2,9.5,1,2,1.25,1,2,0,5,1,0,0,0
152,126,8.7,66,0.52381,0,14,6.64,2,3,1.86,1.79,25,8,4,1,4,1,0
98,77,9.1,48,0.623377,6.1,7,6.43,3,4,1.61,2,14,13,3,2,2,1,0
188,155,9.7,98,0.632258,2.1,15,8.4,3,4,1.9,2,30,0,3,2,0,0,0
60,51,5.9,49,0.960784,3.3,3,12.33,3,4,1.65,2,6,0,5,1,0,0,0
80,66,3,72,1.090909,6.3,3,17.33,4,4,1.71,2.67,5,0,5,1,0,0,0
17,15,6.7,4,0.266667,11.8,3,2,2,2,1.07,1.33,4,1,1,0,0,0,0
23,14,0,2,0.142857,21.7,3,1,1,2,0.71,1,3,1,0,0,0,0,0
65,52,7.7,39,0.75,3.1,6,6.5,2,3,1.69,1.67,10,0,3,1,0,0,0
102,80,7.5,75,0.9375,8.8,5,12.8,4,5,2.1,2.4,11,0,3,1,0,0,0
232,163,12.9,145,0.889571,4.3,11,13,7,7,2.48,3,31,0,3,2,0,0,0
124,87,10.3,77,0.885057,11.3,9,7.44,3,4,1.85,2.22,18,0,3,3,0,0,0
82,61,4.9,57,0.934426,12.2,4,12.25,3,4,1.89,2.25,7,0,5,1,0,0,0
135,107,9.3,87,0.813084,5.2,8,10.13,4,5,2.21,2.38,18,8,4,2,9,1,0
36,31,0,36,1.16129,5.6,2,11.5,1,2,1.55,1,2,0,5,1,0,0,0
105,83,10.8,70,0.843373,4.8,4,17.25,10,9,2.86,4,13,0,5,2,0,0,0
63,52,7.7,39,0.75,0,6,6.5,2,3,1.69,1.67,10,0,3,1,0,0,0
235,170,21.8,96,0.564706,4.3,15,9.47,10,7,2.66,3.6,44,1,3,2,0,0,0
66,53,1.9,65,1.226415,9.1,3,14.33,3,3,1.75,2,4,0,5,1,0,0,0
107,83,8.4,55,0.662651,9.3,6,5.17,3,4,1.45,2.17,13,36,2,0,24,1,0
21,14,0,6,0.428571,19,2,3.5,1,2,1.14,1,2,0,3,1,0,0,0
49,37,8.1,18,0.486486,4.1,6,3.5,2,3,1.62,1.5,9,0,3,1,2,1,0
54,45,4.4,45,1,3.7,4,8.5,2,3,1.64,1.5,6,0,5,1,0,0,0
250,186,16.1,154,0.827957,4.4,16,9.88,11,7,2.44,3,44,0,3,3,0,0,0
99,81,7.4,67,0.82716,1,9,7.11,3,4,1.86,1.67,15,0,3,2,0,0,0
